Total: 3948 samples
       6   0.2%  86.0%       14   0.4% ORB_SLAM2::ORBmatcher::SearchByProjection@a7ff0
       6   0.2%  86.2%        6   0.2% SLL_PopRange (inline)
       6   0.2%  86.3%        6   0.2% SLL_SetNext (inline)
       6   0.2%  86.5%        8   0.2% __distance (inline)
       6   0.2%  86.6%        6   0.2% _mm_add_pd (inline)
       6   0.2%  86.8%       31   0.8% construct (inline)
       6   0.2%  86.9%       82   2.1% cpp_alloc (inline)
       6   0.2%  87.1%        6   0.2% cross (inline)
       6   0.2%  87.2%        6   0.2% cv::MatOp_AddEx::assign
       6   0.2%  87.4%        6   0.2% operator<  (inline)
       6   0.2%  87.5%        6   0.2% std::_Rb_tree::_M_get_insert_unique_pos
       6   0.2%  87.7%        6   0.2% tcmalloc::CentralFreeList::FetchFromOneSpans
       5   0.1%  87.8%      110   2.8% ORB_SLAM2::Optimizer::LocalBundleAdjustment
       5   0.1%  87.9%        5   0.1% Point_ (inline)
       5   0.1%  88.1%       60   1.5% __gnu_cxx::new_allocator::allocate (inline)
       5   0.1%  88.2%        5   0.1% __nanosleep_nocancel
       5   0.1%  88.3%        5   0.1% __write_nocancel
       5   0.1%  88.4%        5   0.1% _init@43140
       5   0.1%  88.6%        5   0.1% _mm_loadh_pd (inline)
       5   0.1%  88.7%        5   0.1% _mm_store_pd (inline)
       5   0.1%  88.8%        5   0.1% cv::operator+
       5   0.1%  89.0%        5   0.1% cv::operator-
       5   0.1%  89.1%        5   0.1% cv::resize
       5   0.1%  89.2%        6   0.2% g2o::BaseUnaryEdge::linearizeOplus
       5   0.1%  89.3%        5   0.1% tcmalloc::ThreadCache::SampleAllocation (inline)
       4   0.1%  89.4%       23   0.6% CoeffBasedProduct (inline)
       4   0.1%  89.5%        4   0.1% Eigen::internal::scalar_sum_op::operator (inline)
       4   0.1%  89.6%       10   0.3% SLL_Push (inline)
       4   0.1%  89.7%        4   0.1% ___printf_fp
       4   0.1%  89.8%        6   0.2% __copy_m (inline)
       4   0.1%  89.9%       52   1.3% cv::Mat::~Mat
       4   0.1%  90.0%        4   0.1% cv::_InputArray::type
       4   0.1%  90.1%        4   0.1% cv::_OutputArray::create@97300
       4   0.1%  90.2%       28   0.7% cv::fastMalloc
       4   0.1%  90.3%        4   0.1% cv::makeOffsets
       4   0.1%  90.5%       55   1.4% do_free_helper (inline)
       4   0.1%  90.6%       25   0.6% g2o::HyperGraph::addEdge
       4   0.1%  90.7%       13   0.3% g2o::SparseBlockMatrix::block
       4   0.1%  90.8%       53   1.3% packet (inline)
       4   0.1%  90.9%        9   0.2% std::_Rb_tree::_M_erase (inline)
       4   0.1%  91.0%        4   0.1% std::_Rb_tree_const_iterator::operator++ (inline)
       4   0.1%  91.1%       40   1.0% std::_Vector_base::_M_allocate (inline)
       4   0.1%  91.2%        7   0.2% std::vector::_M_insert_aux
       3   0.1%  91.2%        3   0.1% MStep (inline)
       3   0.1%  91.3%        9   0.2% ORB_SLAM2::Frame::isInFrustum
       3   0.1%  91.4%       16   0.4% ORB_SLAM2::KeyFrame::GetFeaturesInArea
       3   0.1%  91.5%       22   0.6% ORB_SLAM2::ORBmatcher::Fuse
       3   0.1%  91.5%       51   1.3% ORB_SLAM2::Optimizer::PoseOptimization
       3   0.1%  91.6%        3   0.1% __GI___strcmp_ssse3
       3   0.1%  91.7%        3   0.1% __cxxabiv1::__si_class_type_info::__do_dyncast
       3   0.1%  91.8%        3   0.1% __gnu_cxx::__normal_iterator::operator++ (inline)
       3   0.1%  91.8%        3   0.1% __open_nocancel
       3   0.1%  91.9%        3   0.1% __poll_nocancel
       3   0.1%  92.0%        3   0.1% __recvmsg_nocancel
       3   0.1%  92.1%        3   0.1% _init@296e8
       3   0.1%  92.1%        3   0.1% cv::FilterEngine::proceed
       3   0.1%  92.2%        3   0.1% cv::Mat::initEmpty (inline)
       3   0.1%  92.3%        3   0.1% cv::MatOp_GEMM::assign
       3   0.1%  92.4%        3   0.1% cv::fastAtan2
       3   0.1%  92.5%        3   0.1% cv::normL2_
       3   0.1%  92.5%        3   0.1% cv::scaleAdd
       3   0.1%  92.6%        3   0.1% cvUndistortPoints
       3   0.1%  92.7%       38   1.0% g2o::BaseUnaryEdge::constructQuadraticForm
       3   0.1%  92.8%        3   0.1% g2o::EdgeSE3ProjectXYZ::computeError
       3   0.1%  92.8%        3   0.1% g2o::HyperGraph::clear
       3   0.1%  92.9%        3   0.1% g2o::OptimizableGraph::Edge::setRobustKernel
       3   0.1%  93.0%       84   2.1% g2o::SparseOptimizer::initializeOptimization@62ab0
       3   0.1%  93.1%        3   0.1% png_build_grayscale_palette
       3   0.1%  93.1%       25   0.6% std::_Rb_tree::_M_clone_node (inline)
       3   0.1%  93.2%       28   0.7% std::_Rb_tree::_M_copy
       3   0.1%  93.3%       30   0.8% std::_Vector_base::_M_deallocate (inline)
       3   0.1%  93.4%        6   0.2% std::unique_lock::lock (inline)
       3   0.1%  93.4%        3   0.1% std::vector::operator[] (inline)
       3   0.1%  93.5%        3   0.1% tcmalloc::SizeMap::ClassIndex (inline)
       3   0.1%  93.6%        3   0.1% tcmalloc::ThreadCache::GetThreadHeap (inline)
       2   0.1%  93.6%        2   0.1% DBoW2::FeatureVector::addFeature
       2   0.1%  93.7%        2   0.1% Eigen::SparseMatrix::operator=
       2   0.1%  93.7%      113   2.9% Eigen::internal::assign_impl::run (inline)
       2   0.1%  93.8%        4   0.1% Eigen::internal::set_from_triplets
       2   0.1%  93.8%        2   0.1% MapBase (inline)
       2   0.1%  93.9%        8   0.2% ORB_SLAM2::ExtractorNode::DivideNode
       2   0.1%  93.9%        2   0.1% ORB_SLAM2::Frame::PosInGrid
       2   0.1%  94.0%        5   0.1% ORB_SLAM2::Frame::operator=
       2   0.1%  94.0%        2   0.1% ORB_SLAM2::KeyFrameDatabase::DetectRelocalizationCandidates
       2   0.1%  94.1%        4   0.1% ORB_SLAM2::LocalMapping::KeyFrameCulling
       2   0.1%  94.1%        8   0.2% ORB_SLAM2::MapPoint::UpdateNormalAndDepth
       2   0.1%  94.2%       99   2.5% ORB_SLAM2::ORBextractor::ComputeKeyPointsOctTree
       2   0.1%  94.3%        2   0.1% _Vector_impl (inline)
       2   0.1%  94.3%        2   0.1% __GI___mempcpy
       2   0.1%  94.4%       32   0.8% __GI___pthread_mutex_unlock
       2   0.1%  94.4%        2   0.1% __close_nocancel
       2   0.1%  94.5%        2   0.1% __gnu_cxx::__normal_iterator::operator+= (inline)
       2   0.1%  94.5%        2   0.1% __read_nocancel@f389
       2   0.1%  94.6%      187   4.7% computeDescriptors (inline)
       2   0.1%  94.6%       44   1.1% copyCoeffByOuterInner (inline)
       2   0.1%  94.7%        2   0.1% cv::Line
       2   0.1%  94.7%        2   0.1% cv::Mat::convertTo
       2   0.1%  94.8%        9   0.2% cv::Mat::operator= (inline)
       2   0.1%  94.8%        2   0.1% cv::MatOp_GEMM::add
       2   0.1%  94.9%        2   0.1% cv::MatOp_Initializer::makeExpr
       2   0.1%  94.9%        2   0.1% cv::NAryMatIterator::init
       2   0.1%  95.0%        2   0.1% cv::_InputArray::_InputArray
       2   0.1%  95.0%        2   0.1% cv::_InputArray::kind
       2   0.1%  95.1%        2   0.1% cv::_OutputArray::_OutputArray
       2   0.1%  95.1%        2   0.1% cv::copyMakeBorder
       2   0.1%  95.2%        2   0.1% cv::fastFree
       2   0.1%  95.2%        2   0.1% cv::gemm
       2   0.1%  95.3%        2   0.1% cv::sub32f
       2   0.1%  95.3%        2   0.1% cv::vBinOp32f
       2   0.1%  95.4%       30   0.8% do_malloc_or_cpp_alloc (inline)
       2   0.1%  95.4%        7   0.2% emplace_back (inline)
       2   0.1%  95.5%        2   0.1% g2o::EdgeSE3ProjectXYZ::linearizeOplus
       2   0.1%  95.5%        2   0.1% g2o::EdgeSE3ProjectXYZOnlyPose::linearizeOplus
       2   0.1%  95.6%        2   0.1% g2o::HyperGraph::vertex
       2   0.1%  95.6%        2   0.1% g2o::OptimizableGraph::Edge::~Edge
       2   0.1%  95.7%        2   0.1% g2o::OptimizableGraph::addEdge
       2   0.1%  95.7%        2   0.1% g2o::OptimizationAlgorithmLevenberg::computeLambdaInit
       2   0.1%  95.8%        2   0.1% g2o::SE3Quat::exp
       2   0.1%  95.8%        2   0.1% g2o::SE3Quat::map
       2   0.1%  95.9%        3   0.1% g2o::VertexSE3Expmap::oplusImpl
       2   0.1%  95.9%        2   0.1% g2o::project2d
       2   0.1%  96.0%        4   0.1% lower_bound (inline)
       2   0.1%  96.0%       14   0.4% pmul (inline)
       2   0.1%  96.1%        2   0.1% std::_List_const_iterator::operator++ (inline)
       2   0.1%  96.1%        2   0.1% std::__introsort_loop [clone .isra.240]
       2   0.1%  96.2%        2   0.1% std::__once_callable
       2   0.1%  96.2%        3   0.1% std::mutex::lock (inline)
       2   0.1%  96.3%        3   0.1% std::vector::_M_fill_insert
       2   0.1%  96.3%       17   0.4% std::vector::push_back (inline)
       2   0.1%  96.4%        3   0.1% std::vector::vector
       2   0.1%  96.4%       32   0.8% tc_malloc
       2   0.1%  96.5%        2   0.1% tcmalloc::CentralFreeList::Populate
       2   0.1%  96.5%        2   0.1% tcmalloc::PageHeap::SearchFreeAndLargeLists
       2   0.1%  96.6%        2   0.1% tcmalloc::SizeMap::class_to_size (inline)
       1   0.0%  96.6%        1   0.0% 0x00007f1068df6ef8
       1   0.0%  96.6%        1   0.0% 0x00007f1068e17107
       1   0.0%  96.7%        1   0.0% 0x00007f1068e35653
       1   0.0%  96.7%        1   0.0% 0x00007f1068e35662
       1   0.0%  96.7%        1   0.0% 0x00007f1068e35669
       1   0.0%  96.7%        1   0.0% 0x00007f1068e356a8
       1   0.0%  96.8%        1   0.0% 0x00007f1068e35770
       1   0.0%  96.8%        1   0.0% 0x00007f1068e4cda3
       1   0.0%  96.8%        1   0.0% 0x00007f1068e64260
       1   0.0%  96.8%        1   0.0% 0x00007f1068e64849
       1   0.0%  96.9%        1   0.0% 0x00007ffe3b77e900
       1   0.0%  96.9%        3   0.1% DBoW2::TemplatedVocabulary::loadFromBinaryFile
       1   0.0%  96.9%        1   0.0% Eigen::PlainObjectBase::coeffRef (inline)
       1   0.0%  96.9%        1   0.0% Eigen::internal::assign_DefaultTraversal_CompleteUnrolling::run
       1   0.0%  97.0%       25   0.6% Eigen::internal::assign_DefaultTraversal_InnerUnrolling::run (inline)
       1   0.0%  97.0%        2   0.1% Eigen::internal::ldlt_inplace::unblocked
       1   0.0%  97.0%        1   0.0% Eigen::internal::redux_impl::run (inline)
       1   0.0%  97.0%        1   0.0% Eigen::internal::sparse_solve_triangular_selector::run (inline)
       1   0.0%  97.1%        5   0.1% ExtractorNode (inline)
       1   0.0%  97.1%        2   0.1% MallocHook::InvokeDeleteHook (inline)
       1   0.0%  97.1%        7   0.2% Mat (inline)
       1   0.0%  97.1%        1   0.0% NoBarrier_AtomicExchange (inline)
       1   0.0%  97.2%        1   0.0% NoBarrier_Load (inline)
       1   0.0%  97.2%        1   0.0% ORB_SLAM2::Converter::toCvMat
       1   0.0%  97.2%        1   0.0% ORB_SLAM2::Frame::ComputeStereoFromRGBD
       1   0.0%  97.2%        2   0.1% ORB_SLAM2::Frame::UnprojectStereo
       1   0.0%  97.3%        1   0.0% ORB_SLAM2::FrameDrawer::DrawFrame
       1   0.0%  97.3%        1   0.0% ORB_SLAM2::KeyFrameDatabase::DetectLoopCandidates
       1   0.0%  97.3%      192   4.9% ORB_SLAM2::LocalMapping::Run
       1   0.0%  97.3%       74   1.9% ORB_SLAM2::MapDrawer::DrawMapPoints
       1   0.0%  97.4%        1   0.0% ORB_SLAM2::MapPoint::GetMinDistanceInvariance
       1   0.0%  97.4%        2   0.1% ORB_SLAM2::MapPoint::GetWorldPos
       1   0.0%  97.4%        6   0.2% ORB_SLAM2::MapPoint::MapPoint
       1   0.0%  97.4%       10   0.3% ORB_SLAM2::MapPoint::isBad
       1   0.0%  97.5%       29   0.7% ORB_SLAM2::ORBextractor::DistributeOctTree
       1   0.0%  97.5%        1   0.0% ORB_SLAM2::Tracking::CheckReplacedInLastFrame
       1   0.0%  97.5%      119   3.0% ORB_SLAM2::Tracking::Track
       1   0.0%  97.5%       21   0.5% ORB_SLAM2::Tracking::UpdateLastFrame
       1   0.0%  97.6%        1   0.0% XCheckWindowEvent
       1   0.0%  97.6%        1   0.0% XFlush
       1   0.0%  97.6%        8   0.2% _Construct (inline)
       1   0.0%  97.6%        2   0.1% _Destroy (inline)
       1   0.0%  97.7%        1   0.0% _IO_acquire_lock_fct
       1   0.0%  97.7%        6   0.2% _IO_vfprintf_internal
       1   0.0%  97.7%        1   0.0% _Rb_tree_impl (inline)
       1   0.0%  97.7%       33   0.8% _Vector_base (inline)
       1   0.0%  97.8%        1   0.0% _XFreeX11XCBStructure
       1   0.0%  97.8%        1   0.0% _XReply
       1   0.0%  97.8%        1   0.0% _XSend
       1   0.0%  97.8%        1   0.0% __GI___pthread_getspecific
       1   0.0%  97.9%        1   0.0% __gthread_mutex_lock (inline)
       1   0.0%  97.9%        1   0.0% __ieee754_logf
       1   0.0%  97.9%        1   0.0% __libc_enable_asynccancel
       1   0.0%  97.9%        1   0.0% __mpn_divrem
       1   0.0%  98.0%        1   0.0% __munmap
       1   0.0%  98.0%        1   0.0% __normal_iterator (inline)
       1   0.0%  98.0%        1   0.0% __sin_avx
       1   0.0%  98.0%        1   0.0% __sincosf
       1   0.0%  98.1%        4   0.1% __uninit_default_n (inline)
       1   0.0%  98.1%       36   0.9% _init@402918
       1   0.0%  98.1%        1   0.0% at (inline)
       1   0.0%  98.2%        1   0.0% cairo_pattern_get_extend
       1   0.0%  98.2%        1   0.0% cofactor_3x3 (inline)
       1   0.0%  98.2%        1   0.0% cv::Mat::deallocate
       1   0.0%  98.2%        1   0.0% cv::Mat::dot
       1   0.0%  98.3%        1   0.0% cv::Mat::step1 (inline)
       1   0.0%  98.3%        1   0.0% cv::MatOp::add
       1   0.0%  98.3%        1   0.0% cv::MatOp_T::makeExpr
       1   0.0%  98.3%        1   0.0% cv::NAryMatIterator::NAryMatIterator
       1   0.0%  98.4%        1   0.0% cv::_InputArray::empty
       1   0.0%  98.4%        1   0.0% cv::_OutputArray::fixedType
       1   0.0%  98.4%        1   0.0% cv::borderInterpolate
       1   0.0%  98.4%        1   0.0% cv::cvtColor
       1   0.0%  98.5%        1   0.0% cv::cvtScale32f
       1   0.0%  98.5%        1   0.0% cv::getConvertFunc
       1   0.0%  98.5%        1   0.0% cv::noArray
       1   0.0%  98.5%        1   0.0% cv::operator/
       1   0.0%  98.6%        1   0.0% cv::rectangle
       1   0.0%  98.6%        1   0.0% cv::resizeGeneric_
       1   0.0%  98.6%        1   0.0% cv::scalarToRawData
       1   0.0%  98.6%        1   0.0% cv::transpose_32s
       1   0.0%  98.7%        1   0.0% cvImageWidgetSetImage
       1   0.0%  98.7%      100   2.5% do_malloc_small (inline)
       1   0.0%  98.7%        1   0.0% g2o::BaseBinaryEdge::linearizeOplus
       1   0.0%  98.7%        9   0.2% g2o::BaseEdge::chi2
       1   0.0%  98.8%        1   0.0% g2o::BaseVertex::copyB
       1   0.0%  98.8%        1   0.0% g2o::BaseVertex::discardTop
       1   0.0%  98.8%      108   2.7% g2o::BlockSolver::solve
       1   0.0%  98.8%        1   0.0% g2o::EdgeSE3ProjectXYZ::cam_project
       1   0.0%  98.9%        1   0.0% g2o::HyperGraph::Edge::vertex (inline)
       1   0.0%  98.9%        1   0.0% g2o::HyperGraph::Vertex::~Vertex
       1   0.0%  98.9%        1   0.0% g2o::JacobianWorkspace::updateSize
       1   0.0%  98.9%        1   0.0% g2o::OptimizableGraph::Edge::setLevel (inline)
       1   0.0%  99.0%        1   0.0% g2o::RobustKernelHuber::setDelta
       1   0.0%  99.0%        1   0.0% g2o::SparseBlockMatrixCCS::rowBaseOfBlock (inline)
       1   0.0%  99.0%        3   0.1% g2o::SparseOptimizer::sortVectorContainers
       1   0.0%  99.0%        1   0.0% g_list_sort_with_data
       1   0.0%  99.1%        1   0.0% g_slice_alloc
       1   0.0%  99.1%        1   0.0% g_type_instance_get_private
       1   0.0%  99.1%        1   0.0% g_unix_fd_add
       1   0.0%  99.1%        1   0.0% gdk_draw_image
       1   0.0%  99.2%        1   0.0% gdk_drawable_get_type
       1   0.0%  99.2%        1   0.0% gdk_image_get_pixels
       1   0.0%  99.2%        1   0.0% operator& (inline)
       1   0.0%  99.2%       33   0.8% operator+= (inline)
       1   0.0%  99.3%       71   1.8% operator= (inline)
       1   0.0%  99.3%        1   0.0% pangolin::VarValue::Get
       1   0.0%  99.3%        1   0.0% permute_symm_to_fullsymm
       1   0.0%  99.3%        1   0.0% png_create_read_struct_2
       1   0.0%  99.4%        1   0.0% png_read_row
       1   0.0%  99.4%        1   0.0% round (inline)
       1   0.0%  99.4%        1   0.0% std::_Bit_reference::operator= (inline)
       1   0.0%  99.4%        1   0.0% std::_Rb_tree::clear (inline)
       1   0.0%  99.5%        1   0.0% std::_Rb_tree::end (inline)
       1   0.0%  99.5%       11   0.3% std::_Rb_tree::find (inline)
       1   0.0%  99.5%        1   0.0% std::_Rb_tree_increment@74b00
       1   0.0%  99.5%        1   0.0% std::_Rb_tree_rebalance_for_erase
       1   0.0%  99.6%        1   0.0% std::basic_streambuf::xsputn
       1   0.0%  99.6%        1   0.0% std::basic_string::basic_string
       1   0.0%  99.6%        1   0.0% std::pair::operator= (inline)
       1   0.0%  99.6%        1   0.0% std::string::swap
       1   0.0%  99.7%        1   0.0% std::strstream::str
       1   0.0%  99.7%        1   0.0% std::tr1::_Hashtable::_M_find_node (inline)
       1   0.0%  99.7%        2   0.1% std::tr1::_Hashtable::_M_insert_bucket
       1   0.0%  99.7%        2   0.1% std::tr1::_Hashtable::find (inline)
       1   0.0%  99.8%       12   0.3% std::unique_lock::unlock (inline)
       1   0.0%  99.8%       18   0.5% tcmalloc::PageHeap::MergeIntoFreeList
       1   0.0%  99.8%        4   0.1% tcmalloc::SizeMap::SizeClass (inline)
       1   0.0%  99.8%        1   0.0% tcmalloc::Static::pageheap (inline)
       1   0.0%  99.9%        1   0.0% tcmalloc::ThreadCache::GetCacheWhichMustBePresent (inline)
       1   0.0%  99.9%        1   0.0% tcmalloc::ThreadCache::MinSizeForSlowPath (inline)
       1   0.0%  99.9%        1   0.0% upper_bound (inline)
       1   0.0%  99.9%        6   0.2% writePacket (inline)
       1   0.0% 100.0%        1   0.0% xcb_connect_to_fd
       1   0.0% 100.0%        8   0.2% ~MatExpr (inline)
       0   0.0% 100.0%        1   0.0% 0x0000000002ad72ff
       0   0.0% 100.0%        1   0.0% 0x0000000002af08ff
       0   0.0% 100.0%      325   8.2% 0x000000000311c1bf
       0   0.0% 100.0%        1   0.0% 0x000000000312912f
       0   0.0% 100.0%        1   0.0% 0x0000000014002014
       0   0.0% 100.0%        1   0.0% 0x000000001889d33f
       0   0.0% 100.0%        1   0.0% 0x000000001946ffff
       0   0.0% 100.0%        1   0.0% 0x00000000197edfff
       0   0.0% 100.0%        1   0.0% 0x0000000019c3e09f
       0   0.0% 100.0%        1   0.0% 0x000000001a1c17ff
       0   0.0% 100.0%       13   0.3% 0x00000000ffffffff
       0   0.0% 100.0%       25   0.6% 0x0000000100000002
       0   0.0% 100.0%        1   0.0% 0x000000010000ffff
       0   0.0% 100.0%        2   0.1% 0x00000002ffffffff
       0   0.0% 100.0%       18   0.5% 0x0000000300000002
       0   0.0% 100.0%        1   0.0% 0x0000000d0000ffff
       0   0.0% 100.0%        1   0.0% 0x0000001e0000ffff
       0   0.0% 100.0%        1   0.0% 0x00000024212effff
       0   0.0% 100.0%        1   0.0% 0x0000002a0000ffff
       0   0.0% 100.0%        1   0.0% 0x000000350000ffff
       0   0.0% 100.0%        1   0.0% 0x000001120000021f
       0   0.0% 100.0%        2   0.1% 0x000001f2000003df
       0   0.0% 100.0%        1   0.0% 0x0000028000000025
